iter	Passed	Remaining
575	1629	1199
576	1631	1196
577	1634	1193
578	1636	1189
579	1638	1186
580	1640	1183
581	1642	1180
582	1645	1176
583	1647	1173
584	1649	1170
585	1651	1166
586	1654	1163
587	1655	1160
588	1658	1157
589	1661	1154
590	1665	1152
591	1668	1150
592	1671	1147
593	1674	1144
594	1677	1141
595	1679	1138
596	1681	1135
597	1684	1132
598	1686	1129
599	1688	1125
600	1690	1122
601	1692	1119
602	1693	1115
603	1695	1111
604	1696	1107
605	1698	1104
606	1700	1101
607	1702	1097
608	1705	1094
609	1706	1091
610	1708	1087
611	1710	1084
612	1712	1081
613	1715	1078
614	1716	1074
615	1719	1071
616	1721	1068
617	1723	1065
618	1725	1062
619	1727	1058
620	1729	1055
621	1731	1052
622	1733	1049
623	1735	1045
624	1737	1042
625	1739	1039
626	1741	1035
627	1743	1032
628	1745	1029
629	1747	1026
630	1749	1023
631	1751	1019
632	1753	1016
633	1755	1013
634	1757	1010
635	1759	1007
636	1760	1003
637	1762	1000
638	1764	996
639	1766	993
640	1768	990
641	1769	986
642	1771	983
643	1773	980
644	1775	977
645	1776	973
646	1778	970
647	1780	967
648	1782	963
649	1783	960
650	1785	957
651	1787	954
652	1789	950
653	1790	947
654	1792	943
655	1794	940
656	1795	937
657	1797	934
658	1799	931
659	1801	928
660	1803	924
661	1804	921
662	1806	918
663	1808	914
664	1809	911
665	1811	908
666	1813	905
667	1815	902
668	1816	898
669	1818	895
670	1820	892
671	1822	889
672	1824	886
673	1826	883
674	1827	880
675	1830	877
676	1831	873
677	1833	870
678	1835	867
679	1837	864
680	1838	861
681	1840	858
682	1843	855
683	1844	852
684	1846	849
685	1848	845
686	1849	842
687	1851	839
688	1853	836
689	1855	833
690	1857	830
691	1858	827
692	1860	824
693	1862	821
694	1864	818
695	1865	815
696	1867	811
697	1869	808
698	1871	805
699	1872	802
700	1874	799
701	1876	796
702	1877	793
703	1878	789
704	1880	786
705	1882	783
706	1883	780
707	1885	777
708	1887	774
709	1889	771
710	1890	768
711	1892	765
712	1893	762
713	1895	759
714	1897	756
715	1899	753
716	1900	750
717	1902	747
718	1903	744
719	1905	741
720	1907	738
721	1908	734
722	1910	731
723	1912	729
724	1914	726
725	1915	723
726	1917	720
727	1919	717
728	1921	714
729	1922	711
730	1924	708
731	1925	705
732	1927	702
733	1928	698
734	1930	696
735	1932	693
736	1933	690
737	1935	687
738	1936	684
739	1938	680
740	1939	677
741	1940	674
742	1942	671
743	1943	668
744	1945	665
745	1947	662
746	1948	660
747	1950	657
748	1951	654
749	1953	651
750	1954	648
751	1956	645
752	1957	642
753	1959	639
754	1960	636
755	1962	633
756	1963	630
757	1965	627
758	1967	624
759	1969	621
760	1970	618
761	1972	616
762	1974	613
763	1976	610
764	1977	607
765	1979	604
766	1981	601
767	1982	599
768	1984	596
769	1986	593
770	1988	590
771	1989	587
772	1991	584
773	1993	581
774	1995	579
775	1997	576
776	1998	573
777	2000	570
778	2001	567
779	2003	564
780	2004	562
781	2006	559
782	2007	556
783	2009	553
784	2010	550
785	2012	547
786	2014	545
787	2015	542
788	2017	539
789	2020	537
790	2022	534
791	2024	531
792	2026	529
793	2028	526
794	2029	523
795	2032	520
796	2034	518
797	2036	515
798	2038	512
799	2041	510
800	2042	507
801	2044	504
802	2046	502
803	2048	499
804	2051	496
805	2053	494
806	2057	492
807	2059	489
808	2062	486
809	2064	484
810	2066	481
811	2068	478
812	2071	476
813	2074	473
814	2076	471
815	2079	468
816	2080	466
817	2083	463
818	2085	460
819	2088	458
820	2091	455
821	2092	453
822	2094	450
823	2096	447
824	2099	445
825	2101	442
826	2103	439
827	2105	437
828	2107	434
829	2109	432
830	2111	429
831	2113	426
832	2115	424
833	2117	421
834	2120	418
835	2121	416
836	2123	413
837	2125	410
838	2127	408
839	2129	405
840	2131	402
841	2132	400
842	2134	397
843	2136	394
844	2138	392
845	2140	389
846	2142	386
847	2144	384
848	2145	381
849	2147	379
850	2149	376
851	2151	373
852	2153	371
853	2155	368
854	2157	365
855	2158	363
856	2161	360
857	2162	357
858	2164	355
859	2166	352
860	2167	349
861	2169	347
862	2171	344
863	2173	342
864	2176	339
865	2177	336
866	2179	334
867	2180	331
868	2182	328
869	2183	326
870	2185	323
871	2187	321
872	2189	318
873	2191	315
874	2192	313
875	2194	310
876	2196	307
877	2197	305
878	2199	302
879	2201	300
880	2203	297
881	2204	294
882	2206	292
883	2207	289
884	2209	287
885	2211	284
886	2213	281
887	2215	279
888	2216	276
889	2218	274
890	2220	271
891	2221	269
892	2223	266
893	2225	263
894	2227	261
895	2228	258
896	2231	256
897	2232	253
898	2234	251
899	2235	248
900	2237	245
901	2238	243
902	2240	240
903	2241	238
904	2243	235
905	2245	232
906	2247	230
907	2249	227
908	2250	225
909	2252	222
910	2254	220
911	2255	217
912	2257	215
913	2259	212
914	2260	210
915	2262	207
916	2264	204
917	2265	202
918	2267	199
919	2268	197
920	2270	194
921	2271	192
922	2273	189
923	2274	187
924	2276	184
925	2278	182
926	2279	179
927	2281	176
928	2282	174
929	2284	171
930	2285	169
931	2287	166
932	2288	164
933	2290	161
934	2291	159
935	2292	156
936	2294	154
937	2296	151
938	2297	149
939	2298	146
940	2300	144
941	2301	141
942	2303	139
943	2304	136
944	2306	134
945	2308	131
946	2309	129
947	2311	126
948	2312	124
949	2314	121
950	2316	119
951	2317	116
952	2319	114
953	2320	111
954	2322	109
955	2324	106
956	2325	104
957	2327	102
958	2329	99
959	2331	97
960	2332	94
